Add products or services that you sell to your customers,Ajouter les produits ou services que vous vendez à vos clients,
Add transfer terms,Ajouter des conditions de transfert,
Add'l Discounts,Remises additionnelles,
Additional {0} Serial Numbers required for {1} quantity of {2}.,"Le numéro de série additionnel {0} est requis pour {1}, quantité de {2}.",
Additional quantity ({0}) required{1} to make outward transfer of item {2} from {3} on {4},La quantité additionnelle ({0}) est requise{2} pour faire un transfert sortant de l'entrée {2} depuis {3} vers {4}.,
Address,Adresse,
Address Display,Affichage de l'adresse,
Address Line 1,Ligne d'adresse 1,
Address Line 2,Ligne d'adresse 2,
Address Name,Nom donné à l'adresse,
Administrative Expenses,Dépenses administratives,
All,Tout,
Amount,Montant,
Amount Paid,Montant payé,
Amount: {0} and writeoff: {1} is less than the total amount allocated to references: {2}.,Le montant : {0} et la déduction fiscale de : {1} est inférieur au montant total alloué aux références : {2}.,
Amount: {0} is less than the total amount allocated to references: {1}.,Le montant : {0} est inférieur au montant total alloué aux références : {1}.,
Amounts,Montants,
An entry is cancelled only if it is in the submitted state.,Une entrée est annulée seulement si elle est validée.,
An entry is submitted only if it is submittable and is in the saved state.,Une entrée est validée seulement si elle esty validable et enregistrée.,
An error occurred.,Une erreur s'est produite.,
Application of Funds (Assets),Application des fonds (bien actifs),
Apply Discount After Tax,Appliquer la remise après les taxes,
Apply and view changes made to the print template,Enregistre et visualise les changements faits au patron d'impression,
April,Avril,
Ascending Order,Ordre Croissant,
Asset,Bien actif,
Attach Image,Attacher une image,
Attachment,Fichiers attachés,
August,Août,
Auto Payments,Paiements automatiques,
Autocomplete,Autocomplétion,
Back,Retour,
Back Reference,Référence inverse,
"Bad import data, could not read file.","Données d'import incorrectes, ne peut pas lire le fichier.",
Balance,Balance,
Balance Sheet,Bilan Comptable,
Bank,Banque,
Bank Accounts,Comptes bancaires,
Bank Entry,Entrée bancaire,
Bank Name,Nom de la banque,
Bank Overdraft Account,Découvert bancaire,
Barcode,Code barre,
Based On,Basé sur,
Bill Created,Facture créée,
Billing,Facturation,
Black,Noir,
Blue,Bleu,
Both,Les deux,
Both From and To Location cannot be undefined,Il est nécessaire de spécifier au moins une une localisation : depuis ou vers,
Buildings,Bâtiments,
Cancel,Annuler,
Cancel {0}?,Annuler {0} ?,
Cancel or Delete an entry.,Annule ou supprime une entrée.,
Cancelled,Annulé,
Cannot Delete,Impossible à supprimer,
Cannot Delete Account,Ne peut supprimer le compte,
Cannot Export,Ne peut exporter,
Cannot Import,Ne peut importer,
Cannot Open File,Ne peut ouvrir le fichier,
Cannot cancel {0} {1} because of the following {2}: {3},Ne peut annuler {0} {1} parce-que {2} : {3},
Cannot cancel {0} because of the following {1}: {2},Ne peut annuler {0} parce-que {1} : {2},
"Cannot delete {0} ""{1}"" because of linked entries.","Ne peut supprimer {0} ""{1}"" à cause des entrées liées",
Cannot open file,Ne peut ouvrir le fichier,
Cannot perform operation.,Ne peut exécuter l'opération,
Cannot read file,Ne peut lire le ficheir,
Capital Equipments,Biens d'équipement,
Capital Stock,Capital social,
Cash,Espèces,
Cash Entry,Entrée d'argent,
Cash In Hand,Liquidités en main,
Cashflow,Flux d'argent,
Central Tax,Impôt global,
Change DB,Changer la BDD,
Change File,Changer le ficher,
Change Ref Type,Changer le type de référence,
Changes made to settings will be visible on reload.,Les changements de préférences seront appliquées au rechargement,
Chargeable,Facturable,
Chart Of Accounts Reviewed,Graphique du compte sélectionné,
Chart of Accounts,Graphique des comptes,
Cheque,Chèque,
City / Town,Ville / Village,
Clear,Effacer,
Clearance Date,Date d'autorisation,
Close,Fermer,
Close POS Shift,Ferme le PdV,
Close Quick Search,Ferme la recherche rapide,
Closing,Fermeture,
Closing (Cr),Fermeture (Cr),
Closing (Dr),Fermeture (Dr),
Collapse,Réduire,
Color,Couleur,
Commission on Sales,Commission sur les ventes,
Common,Autres,
Company,Entreprise,
Company Logo,Logo de l'entreprise,
Company Name,Nom de l'entreprise,
Company Setup,Création d'entreprise,
Completed,Complété,
Condition,Condition,
Consolidate Columns,Consolider les colonnes,
Contacts,Contacts,
Contains,Contient,
Continue submitting Sales Invoice?,Continuer de valider les factures de vente ?,
Contra Entry,Entrée contrat,
Conversion Error,Erreur de conversion,
Conversion Factor,Facteur de conversion,
Cost Of Goods Sold Acc.,Compte pour le coût des marchandises vendues,
Cost of Goods Sold,Coût des marchandises vendues,
"Could not connect to database file {0}, please select the file manually","Ne peut se connecter au fichier de base de donnée {0}, choisissez le fichier manuellement",
Count,Compteur,
Counter Cash Account,Compte de caisse,
Country,Pays,
Country Code,Code du Pays,
Country code used to initialize regional settings.,Code du Pays utilisé pour initialiser les réglages régionaux.,
Create,Créer,
Create Demo,Créer une démo,
Create Purchase,Créer un achat,
Create Purchase Invoice,Créer une facture d'achat,
Create Sale,Créer une vente,
Create Sales Invoice,Créer une facture de vente,
Create your first purchase invoice from the created supplier,Créer votre première facture d'achat liée au fournisseur que vous venez de créer,
Create your first sales invoice for the created customer,Créer votre première facture de vente liée au client que vous venez de créer,
Created,Créé,
Created By,Créé par,
Creating Items and Parties,Créer des items et des partis,
Creating Journal Entries,Créer des entrées dans le livre des comptes,
Creating Purchase Invoices,Création de factures d'achats,
Credit,Crédit,
Credit Card Entry,Entrée Carte de Crédit,
Credit Note,Avoir,
Creditors,Créanciers,
Currency,Devise,
Currency Name,Nom de la devise,
Current,Actuel,
Current Assets,Actifs courants,
Current Liabilities,Passifs courants,
Custom Field,Champ personnalisé,
Custom Fields,Champs personnalisés,
Custom Form,Formulaire personnalisé,
Custom Hex,Hexadécimal custom,
Customer,Client,
Customer Created,Client créé,
Customer Currency,Monnaie du client,
Customers,Clients,
Customizations,Personnalisations,
Customize Form,Personnalisation de formulaire,
Customize your invoices by adding a logo and address details,Personnalisez vos factures en y ajoutant votre logo et adresse,
Dashboard,Tableau de bord,
Data,Donnée,
Database Error,Erreur de base de donnée,
Database file: {0},Fichier de base de données : {0},
Date,Date,
Date Format,Format de la date,
Day,Jour,
Debit,Débit,
Debit Note,Note de débit,
Debtors,Débiteurs,
December,Décembre,
Decrease print template display scale,Réduire la taille du patron d'impression,
Default,Valeur par défaut,
Default Account,Compte par défaut,
Default Location,Emplacement par défaut,
Defaults,Valeurs par défaut,
Delete,Supprimer,
Delete {0}?,Supprimer {0} ?,
Delete Account,Supprimer le compte,
Delete Failed,Suppression échouée,
Delete Group,Supprimer le groupe,
Depreciation,Amortissement,
Depreciation Entry,Entrée d'amortissement,
Description,Description,
Details,Détails,
Difference Amount,Différence de montant,
Direct Expenses,Dépenses directes,
Direct Income,Revenu direct,
Discount Account,Compte des réductions,
Discount Account is not set.,Le compte des réductions n'est pas défini.,
Discount Amount,Montant de la réduction,
Discount Amount ({0}) cannot be greated than Amount ({1}).,Le montant de la réduction ({0}) ne peut pas être plus grand que le montant ({1}).,
Discount Percent,Pourcentage de réduction,
Discount Percent ({0}) cannot be greater than 100.,Le pourcentage de réduction ne peut pas être plus grand que 100,
Discounted Amount,Montant de la réduction,
Discounts,Réductions,
Display Logo in Invoice,Afficher le logo sur la facture,
Display Precision,Précision de l'affichage,
Display Precision should have a value between 0 and 9.,La précision de l'affichage doit avoir une valeur comprise entre 0 et 9.,
Dividends Paid,Dividendes versées,
Docs,Documents,
Documentation,Documentation,
Does Not Contain,Ne contient pas,
Done,Fini,
Draft,Brouillon,
Duplicate,Dupliquer,
Duties and Taxes,Charges et taxes,
Earnest Money,Argent de la caution,
Electronic Equipments,Équipements électroniques,
Email Address,Adresse électronique,
Empty,Vide,
Enable Discount Accounting,Activer la gestion des réductions,
Enable Inventory,Activer l'inventaire,
Enter Country to load States,Entrez le Pays pour charger le département,
Enter State,Entrez le département,
Entertainment Expenses,Dépenses liées au divertissement,
Entry No,Entrée N°,
Entry Type,Type d'entrée,
Equity,Capitaux Propres,
Error,Erreur,
Exchange Gain/Loss,Gain/Perte d'échange,
Exchange Rate,Taux de change,
Excise Entry,Entrée d'acquis,
Expand,Développer,
Expense,Dépenses,
Expense Account,Compte de dépenses,
Expenses,Dépenses,
Expenses Included In Valuation,Dépenses incluses dans la valorisation ,
Export,Exporter,
Export Failed,Export Échoué,
Export Successful,Export réussi,
Fax,Fax,
February,Février,
Field,Champ,
Fieldname,Nom du champ,
Filter,Filtre,
Fiscal Year,Année fiscale,
Fiscal Year End Date,Date de fin de l'année fiscale,
Fiscal Year Start Date,Date de début de l'année fiscale,
Fixed Asset,Actif Fixe,
Fixed Assets,Actifs fixes,
Font,Police,
Fr,Ve,
Fraction,Fraction,
Fraction Units,Unités de fractionnement,
Freight and Forwarding Charges,Frais de fret et d'expédition,
From Account,Du compte,
From Date,De la date,
From Year,De l'année,
Full Name,Nom complet,
Furnitures and Fixtures,Mobilier et accessoires,
GSTIN No.,N° GSTIN,
GSTR1,GSTR1,
GSTR2,GSTR2,
Gain/Loss on Asset Disposal,Gain/Perte sur la cession d'actifs,
General,Général,
General Ledger,Registre comptable général,
Get Started,Commencez,
Grand Total,Total général,
Greater Than,Plus grand que,
Green,Vert,
Group By,Grouper par,
HSN/SAC Code,Code HSN/SAC,
Half Yearly,Semestriel,
Half Years,Semestres,
Height (in cm),Hauteur (en cm),
Help,Aide,
Hex Value,Valeur hexadécimale,
Hide Get Started,Cacher 'Commencez',
Hide Group Amounts,Cacher les montants de groupes,
Hides the Get Started section from the sidebar. Change will be visible on restart or refreshing the app.,Masque la section 'Commencez' de la barre latérale. Le changement sera visible au redémarrage ou au rafraîchissement de l'application.,
Hour,Heure,
Image,Image,
Import Data,Importer les données,
Import Type,Type d'import,
Inactive,Inactif,
Include Cancelled,Ajout annulé,
Income,Revenu,
Income Account,Compte de revenus,
Indirect Expenses,Dépenses indirectes,
Indirect Income,Revenu indirect,
Inflow,Revenus,
Instance Id,Id de l'Instance,
Intergrated Tax,Taxe intégrée,
Internal Precision,Précision interne,
Invalid value {0} for {1},Valeur {0} invalide pour {1},
Investments,Investissements,
Invoice,Facture,
Invoice Created,Facture créée,
Invoice Date,Date de la facture,
Invoice No,N° de facture,
Invoice No.,N° de facture.,
Invoice Value,Valeur de la facture,
Invoices,Factures,
Is,Est,
Is Empty,Est vide,
Is Group,Est un groupe,
Is Not,N'est pas,
Is Not Empty,N'est pas vide,
Is Whole,Est complet,
Item,Article,
Item Description,Description de l'Article,
Item Name,Nom de l'Article,
Items,Articles,
January,Janvier,
Journal Entries,Entrées du livre des comptes,
Journal Entry,Entrée du livre des comptes,
Journal Entry Account,Compte du livre des comptes,
July,Juillet,
June,Juin,
Language,Langage,
Left Index,Index de Gauche,
Legal Expenses,Frais juridiques,
Less Filters,Moins de filtres,
Less Than,Moins de,
Liability,Passifs,
List,Lister,
Loading Report...,Charger un Rapport...,
Loading...,Chargement...,
Loans (Liabilities),Prêts (Passifs),
Loans and Advances (Assets),Prêts et avances (actifs),
Make Entry,Ajouter une entrée,
March,Mars,
Mark {0} as submitted?,Valider {0} ?,
Marketing Expenses,Dépenses de marketing,
May,Mai,
Misc,Divers,
Miscellaneous Expenses,Dépenses diverses,
Mo,Lu,
Modified,Modifié,
Modified By,Modifié par,
Monthly,Mensuel,
Months,Mois,
More Filters,Plus de filtres,
Name,Nom,
Navigate,Naviguer,
Net Total,Total Net,
New {0},Nouveau {0},
New Account,Nouveau Compte,
New Entry,Nouvelle entrée,
No,Non,
No Values to be Displayed,Aucune Valeur à afficher,
No entries found,Aucune entrée trouvée,
No expenses in this period,Aucune dépense dans cette période,
No filters selected,Aucun filtre sélectionné,
No results found,Aucun résultat trouvé,
"No results found, disable filters","Aucun résultat trouvé, désactiver les filtres",
No transactions yet,Aucune transaction pour le moment,
None,Aucun,
Not Saved,Non enregistré,
November,Novembre,
Number Series,Numéroter les séries,
Number of {0},Numéro de {0},
October,Octobre,
Office Equipments,Équipements des locaux,
Office Maintenance Expenses,Frais d'entretien des locaux,
Office Rent,Location des locaux,
Onboarding Complete,Embauche finie,
Open Count,Compte ouvert,
Open Folder,Ouvrir le dossier,
Opening (Cr),Ouverture (Cr),
Opening (Dr),Ouverture (Dr),
Opening Balance Equity,Solde d'ouverture fonds propres,
Opening Balances,Soldes d'ouverture,
Opening Entry,Ouvrir l'entrée,
Organisation,Organisation,
Outflow,Dépenses,
Outstanding Amount,Montant impayé,
Pad Zeros,Remplir de zéros,
Paid,Payé,
Parent Account,Compte parent,
Party,Partie,
Patch Run,Exécuter les correctifs,
Pay,Payer,
Payable,Payable,
Payment,Paiement,
Payment For,Paiement pour,
Payment Method,Mode de paiement,
Payment No,N° de Paiement,
Payment Reference,Référence du paiement,
Payment Type,Type de paiement,
Payment amount cannot be {0}.,Le montant du paiement ne peut pas être {0}.,
Payment amount cannot be less than zero.,Le montant du paiement ne peut être inférieur à zéro.,
Payment amount cannot exceed {0}.,Le montant du paiement ne peut pas dépasser {0}.,
Payment amount: {0} should be greater than 0.,Le montant du paiement : {0} doit être supérieur à 0.,
Payment amount: {0} should be less than Outstanding amount: {1}.,Montant du paiement : {0} doit être inférieur au montant restant : {1}.,
Payments,Paiements,
Payroll Payable,Paie à payer,
Pending Qty. {0},Qué. en attente {0},
Pending qty. {0},Qué. en attente {0},
Periodicity,Périodicité,
Phone,Téléphone,
Pink,Rose,
Place,Lieu,
Place of supply,Lieu d'approvisionnement,
Plants and Machineries,Usines et Machineries,
Please Wait,Veuillez patienter,
Please select a valid reference type.,S'il-vous-plaît sélectionnez un type de référence valide.,
Please set Round Off Account in the Settings.,Veuillez définir le compte d'arrondi dans les paramètres,
Postal Code,Code postal,
Postal Expenses,Dépenses postales,
Posting Date,Date d'affichage,
Prefix,Préfixe,
Prime Bank,Banque de confiance,
Print,Imprimer,
Print Settings,Paramètres d'impression,
Print and Stationery,Impression et papeterie,
Product,Produit,
Profit And Loss,Profits et pertes,
Profit and Loss,Profits et pertes,
Purchase,Achat,
Purchase Invoice,Facture d'achats,
Purchase Invoice Item,Facture d'achat d'articles,
Purchase Invoices,Factures d'achats,
Purchase Item Created,Article acheté créé,
Purchase Items,Articles achetés,
Purchase Payments,Paiements d'achats,
Purchases,Achats,
Purple,Violet,
Qty in Batch,Qué dans le lot,
Qty. {0},Qué. {0},
Quantity,Quantité,
Quarterly,Trimestriel,
Quarters,Trimestres,
Quote,Devis,
Quote Reference,Référence du devis,
Rate,Tarif,
Rate ({0}) cannot be less zero.,Le Tarif ({0}) ne peut pas être inférieur à zéro.,
Rate can't be negative.,Le tarif ne peut pas être négatif.,
Receivable,Recevable,
Receive,Recevoir,
Red,Rouge,
Ref Name,Nom de Réf,
Ref Type,Type de Réf,
Ref. / Cheque No.,Réf. / N° de chèque,
Ref. Date,Réf. Date,
Ref. Name,Réf. Nom,
Ref. Type,Réf. Type,
Reference,Référence,
Reference Date,Date de référence,
Reference Number,Numéro de référence,
Reference Type,Type de référence,
Report,Rapport,
Report Error,Rapport d'erreur,
Report Issue,Rapporter un problème,
Reports,Rapports,
Retained Earnings,Bénéfices non distribués,
Reverse Chrg.,Auto-liquidation,
Reverted,Rétabli,
Reverts,Rétablis,
Review Accounts,Révision des Comptes,
"Review your chart of accounts, add any account or tax heads as needed","Regarder votre graphique de compte, ajouter des comptes ou des taxes au besoin",
Right Index,Index droit,
Role,Rôle,
Root Type,Type d'origine,
Round Off,Arrondir,
Round Off Account,Arrondir le compte,
Round Off Account Not Found,Compte d'arrondi non trouvé,
Rounded Off,Arrondis,
Sa,Sa,
Salary,Salaire,
Sales,Ventes,
Sales Expenses,Frais de vente,
Sales Invoice,Facture de vente,
Sales Invoice Item,Facture de vente d'article,
Sales Invoices,Factures des ventes,
Sales Item Created,Article en vente créé,
Sales Items,Articles en vente,
Sales Payments,Paiement des ventes,
Sales Quote,Devis,
Sales Quotes,Devis,
Save,Enregistrer,
Save Template,Enregistrer le modèle,
Save as PDF,Enregistrer en PDF,
Save as PDF Successful,Enregistré en PDF avec succès,
Saved,Enregistré,
Secured Loans,Prêts garantis,
Securities and Deposits,Titres et dépôts,
Select,Sélectionner,
Select CoA,Sélectionner le CoA,
Select Color,Sélectionner la couleur,
Select Country,Sélectionner le pays,
Select File,Sélectionner le fichier,
Select Image,Sélectionner l'image,
Select file,Sélectionnez un fichier,
Select folder,Sélectionner un dossier,
Selected,Sélectionné,
September,Septembre,
Set Discount Amount,Définir le montant de la réduction,
Set Print Size,Définir le format de page,
Set Template Type,Définir le type de modèle,
Set Up,Configurer,
Set Up Your Workspace,Configurez votre espace de travail,
Set an Import Type,Définir un type d'Import,
Set the display language.,Définir une langue d'affichage,
Set the local code. This is used for number formatting.,"Définissez le code local, il est utilisé pour le formatage des numéros.",
"Set up your company information, email, country and fiscal year","Configurez les informations de votre entreprise tel que l’e-mail, le pays, et l'année fiscale",
Set up your opening balances before performing any accounting entries,Configurez votre solde bancaire de base avant d'enregistrer une entrée comptable,
Set up your organization,Configurer votre organisation,
Set up your tax templates for your sales or purchase transactions,Configurez votre modèle de taxe pour vos ventes ou transactions d'achats,
Sets how many digits are shown after the decimal point.,Définit le nombre de chiffres affichés après le point décimal.,
Sets the app-wide date display format.,Définit le format d'affichage de la date pour l'application.,
Sets the internal precision used for monetary calculations. Above 6 should be sufficient for most currencies.,Définit la précision interne utilisée pour les calculs monétaires. Une précision supérieure à 6 devrait être suffisante pour la plupart des monnaies.,
Setting Up Instance,Paramétrage de l'Instance,
Settings,Paramètres,
Setup,Configuration,
Setup Complete,Configuration terminée,
Setup Wizard,Assistant de configuration,
Setup system defaults like date format and display precision,Configurez les unités par défaut du système comme le format de la date ou la précision d'affichage des chiffres,
Shortcuts,Raccourcis,
Should entries be submitted after syncing?,Les entrées doivent-elles être validées après avoir été synchronisées ?,
Show Me,Montre Moi,
Single Value,Une seule valeur,
Skip Child Tables,Sauter les sous-tables,
Skip Transactions,Sauter les transactions,
Smallest Currency Fraction Value,Valeur de la plus petite fraction de la monnaie,
Softwares,Logiciels,
Something has gone terribly wrong. Please check the console and raise an issue.,Quelque chose s'est terriblement mal passé. Veuillez vérifier la console et rapportez le problème.,
Source of Funds (Liabilities),Source des fonds (passif),
Standard Chart of Accounts,Graphique Standard des Comptes ,
Start,Début,
State,État,
State Tax,Taxe d'État,
Status,Statut,
Stock Adjustment,Ajustement des stocks,
Stock Assets,Actifs en stock,
Stock Expenses,Dépenses du Stock,
Stock In Hand,Stock en main,
Stock Liabilities,Sommes dues sur le Stock,
Stock Received But Not Billed,Stock reçu mais non facturé,
Su,Di,
Submit,Soumettre,
Submitted,Soumis,
Supplier,Fournisseur,
Supplier Created,Fournisseur créé,
Suppliers,Fournisseurs,
Symbol,Symbole,
System,Système,
System Settings,Paramètres du système,
System Setup,Configuration du système,
Tax,Taxe,
Tax Account,Compte de taxes,
Tax Assets,Actifs fiscaux,
Tax Detail,Détail des taxes,
Tax ID,Numéro d'identification fiscale,
Tax Summary,relevé fiscal,
Taxable Value,Valeur imposable,
Taxed Amount,Montant taxé,
Taxes,Taxes,
Teal,Bleu Sarcelle,
Telephone Expenses,Frais téléphonique,
Template,Modèle,
Temporary,Temporaire,
Temporary Accounts,Comptes temporaires,
Temporary Opening,Ouverture temporaire,
Terms,Conditions,
Text,Texte,
Th,Je,
This Month,Ce mois,
This Quarter,Ce trimestre,
This Year,Cette année,
This action is permanent,Cette action est permanente,
This action is permanent and will cancel the following payment: {0},Cette action est permanente et annulera le paiement suivant : {0},
This action is permanent and will cancel the following payments: {0},Cette action est permanente et annulera les paiements suivants : {0},
This action is permanent and will delete associated ledger entries.,Cette action est permanente et supprimera les écritures dans le registre associés.,
This action is permanent.,Cette action est permanente,
To Account,Au compte,
To Account and From Account can't be the same: {0},Le compte originaire et destinataire ne peut pas être le même : {0},
To Date,À ce jour,
To Year,À cette année,
Top Expenses,Dépenses principales,
Total,Total,
Total Amount,Montant total,
Total Asset (Debit),Actif total (débit),
Total Debit: {0} must be equal to Total Credit: {1},Le débit total: {0} doit être égal au crédit total : {1},
Total Discount,Remise totales,
Total Equity (Credit),Capitaux propres totaux (crédit),
Total Expense (Debit),Dépense totale (débit),
Total Income (Credit),Revenu total (crédit),
Total Liability (Credit),Passif total (crédit),
Total Profit,Profit total,
Total Quantity,Quantité totale,
Total Spending,Dépenses totales,
Track Inventory,Tracer l'inventaire,
Transfer,Transfert,
Transfer Type,Type de transfert,
Travel Expenses,Frais de transport,
Trial Balance,Balance comptable,
Tu,Ma,
Type,Type,
Type to search...,Type à chercher...,
Unit,Unité,
Unit Type,Type d'unité,
Unpaid,Impayé,
Unsecured Loans,Prêts non garantis,
Until Date,Date butoir,
User Remark,Remarque de l'utilisateur,
Utility Expenses,Dépenses de services publics,
Value,Valeur,
Value missing for {0},Valeur manquante pour {0},
Value: {0},Valeur: {0},
Version,Version,
View,Voir,
View Purchases,Voir les achats,
View Sales,Voir les ventes,
We,Me,
Welcome to Frappe Books,Bienvenue chez Frappe Books,
Width (in cm),Largeur (en cm),
Write Off,déduction,
Write Off Account,Compte des déduction fiscales,
Write Off Account not set. Please set Write Off Account in General Settings,Compte des déduction fiscales no défini. Veuillez entrer un Compte des déduction fiscales dans les paramètres généraux,
Write Off Entry,Entrée de déductions fiscales,
Yearly,Annuel,
Years,Années,
Yellow,Jaune,
Yes,Oui,
check values and click on,Vérifiez les valeurs et cliquez sur,
to apply changes,pour appliquer les changements,
Allow to bypass filters,Autoriser la désactivation des filtres
"When linking documents, if no match is found and filtering is in effect, allow to disable filters.","Lors de la sélection d'un document lié, autoriser à désactiver les filtres si aucun résultat n'est trouvé"
